Neutrons,Protons,Mass_Number,EL,Atomic_Mass_Micro,N,A
0,1,1,H,1.0070000000000001,0,0
2,2,4,He,4.002,0,0
4,3,7,Li,6.941,0,0
5,4,9,Be,9.012,0,0
6,5,11,B,10.811,0,0
6,6,12,C,12.011,0,0
7,7,14,N,14.007,0,0
8,8,16,O,15.999,0,0
10,9,19,F,18.998,0,0
10,10,20,Ne,20.18,0,0
12,11,23,Na,22.99,0,0
12,12,24,Mg,24.305,0,0
14,13,27,Al,26.982,0,0
14,14,28,Si,28.086,0,0
16,15,31,P,30.974,0,0
16,16,32,S,32.065,0,0
18,17,35,Cl,35.453,0,0
22,18,40,Ar,39.948,0,0
20,19,39,K,39.098,0,0
20,20,40,Ca,40.078,0,0
24,21,45,Sc,44.956,0,0
26,22,48,Ti,47.867,0,0
28,23,51,V,50.942,0,0
28,24,52,Cr,51.996,0,0
30,25,55,Mn,54.938,0,0
30,26,56,Fe,55.845,0,0
32,27,59,Co,58.933,0,0
31,28,59,Ni,58.693000000000005,0,0
35,29,64,Cu,63.54600000000001,0,0
35,30,65,Zn,65.38,0,0
39,31,70,Ga,69.723,0,0
41,32,73,Ge,72.64,0,0
42,33,75,As,74.922,0,0
45,34,79,Se,78.96,0,0
45,35,80,Br,79.904,0,0
48,36,84,Kr,83.79799999999999,0,0
48,37,85,Rb,85.46799999999999,0,0
50,38,88,Sr,87.62,0,0
50,39,89,Y,88.906,0,0
51,40,91,Zr,91.22399999999999,0,0
52,41,93,Nb,92.906,0,0
54,42,96,Mo,95.96,0,0
55,43,98,Tc,98.0,0,0
57,44,101,Ru,101.07,0,0
58,45,103,Rh,102.906,0,0
60,46,106,Pd,106.42,0,0
61,47,108,Ag,107.868,0,0
64,48,112,Cd,112.411,0,0
66,49,115,In,114.818,0,0
69,50,119,Sn,118.71,0,0
71,51,122,Sb,121.76,0,0
76,52,128,Te,127.6,0,0
74,53,127,I,126.904,0,0
77,54,131,Xe,131.293,0,0
78,55,133,Cs,132.905,0,0
81,56,137,Ba,137.327,0,0
82,57,139,La,138.905,0,0
82,58,140,Ce,140.116,0,0
82,59,141,Pr,140.908,0,0
84,60,144,Nd,144.24200000000002,0,0
84,61,145,Pm,145.0,0,0
88,62,150,Sm,150.36,0,0
89,63,152,Eu,151.964,0,0
93,64,157,Gd,157.25,0,0
94,65,159,Tb,158.925,0,0
97,66,163,Dy,162.5,0,0
98,67,165,Ho,164.93,0,0
99,68,167,Er,167.25900000000001,0,0
100,69,169,Tm,168.93400000000003,0,0
103,70,173,Yb,173.054,0,0
104,71,175,Lu,174.967,0,0
106,72,178,Hf,178.49,0,0
108,73,181,Ta,180.94799999999998,0,0
110,74,184,W,183.84,0,0
111,75,186,Re,186.207,0,0
114,76,190,Os,190.23,0,0
115,77,192,Ir,192.217,0,0
117,78,195,Pt,195.084,0,0
118,79,197,Au,196.967,0,0
121,80,201,Hg,200.59,0,0
123,81,204,Tl,204.38299999999998,0,0
125,82,207,Pb,207.2,0,0
126,83,209,Bi,208.98,0,0
126,84,210,Po,210.0,0,0
125,85,210,At,210.0,0,0
136,86,222,Rn,222.0,0,0
136,87,223,Fr,223.0,0,0
138,88,226,Ra,226.0,0,0
138,89,227,Ac,227.0,0,0
142,90,232,Th,232.03799999999998,0,0
140,91,231,Pa,231.03599999999997,0,0
146,92,238,U,238.02900000000002,0,0
144,93,237,Np,237.0,0,0
150,94,244,Pu,244.0,0,0
148,95,243,Am,243.0,0,0
151,96,247,Cm,247.0,0,0
150,97,247,Bk,247.0,0,0
153,98,251,Cf,251.0,0,0
153,99,252,Es,252.0,0,0
157,100,257,Fm,257.0,0,0
157,101,258,Md,258.0,0,0
157,102,259,No,259.0,0,0
159,103,262,Lr,262.0,0,0
157,104,261,Rf,261.0,0,0
157,105,262,Db,262.0,0,0
160,106,266,Sg,266.0,0,0
157,107,264,Bh,264.0,0,0
159,108,267,Hs,267.0,0,0
159,109,268,Mt,268.0,0,0
161,110,271,Ds ,271.0,0,0
161,111,272,Rg ,272.0,0,0
173,112,285,Cn ,285.0,0,0
171,113,284,Nh,284.0,0,0
175,114,289,Fl,289.0,0,0
173,115,288,Mc,288.0,0,0
176,116,292,Lv,292.0,0,0
178,117,295,Ts,295.0,0,0
176,118,294,Og,294.0,0,0
